2026-03-28 18:04:16 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 18:04:16 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 18:04:16 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 18:04:16 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 18:04:16 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 18:04:16 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 18:04:21 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 18:04:21 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 18:04:21 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 18:04:21 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 18:04:21 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 18:04:21 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 18:04:21 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 18:04:21 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 18:04:21 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 18:04:26 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 18:04:26 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 18:04:26 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 18:04:26 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 18:04:26 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 18:04:26 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 18:04:26 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 18:04:26 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 18:04:31 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 18:04:31 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 18:04:31 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 18:04:31 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 18:04:31 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 18:04:31 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 18:04:31 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 18:04:31 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 18:04:31 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 18:04:36 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 18:04:36 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 18:04:36 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 18:04:36 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
